City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,codrington,-38.2667,141.9667,39.87,92,17,9.01,AU,1722707917
331,tweed heads,-28.1817,153.547,49.17,92,15,6.2,AU,1722707918
332,valle de la pascua,9.2155,-66.0073,87.48,60,43,7.34,VE,1722707919
333,dryden,49.7833,-92.7503,64.69,82,100,3.44,CA,1722707635
334,bardai,11.65,7.2333,71.83,89,94,7.83,NG,1722707921
335,villanueva,15.3167,-88.0,86.99,66,40,5.75,HN,1722707802
336,okhotsk,59.3833,143.3,52.25,82,68,3.71,RU,1722707924
337,fort bragg,35.139,-79.006,91.81,66,75,12.66,US,1722707925
338,kristiansund,63.1115,7.732,68.05,78,75,5.75,NO,1722707926
339,mazara del vallo,37.6641,12.588,82.35,87,80,16.35,IT,1722707927
340,sao raimundo nonato,-9.0153,-42.6994,88.2,27,43,9.84,BR,1722707928
341,nar'yan-mar,67.6713,53.087,51.37,78,13,18.03,RU,1722707929
342,sangueya,10.7,-14.3667,75.22,96,100,7.9,GN,1722707930
343,immokalee,26.4187,-81.4173,91.31,66,40,14.97,US,1722707931
344,kyaikkami,16.08,97.5675,79.65,88,100,8.23,MM,1722707932
345,trinidad,-14.8333,-64.9,93.18,49,40,11.5,BO,1722707934
346,kolokani,13.5728,-8.0339,81.1,77,99,6.04,ML,1722707935
347,whakatane,-37.9585,176.9854,39.78,95,71,3.0,NZ,1722707937
348,saucillo,28.0167,-105.2833,88.54,27,0,7.45,MX,1722707938
349,bir el ater,34.7449,8.0602,90.27,25,35,20.42,DZ,1722707939
350,barguzin,53.6167,109.6167,61.54,82,100,3.27,RU,1722707940
351,brookhaven,31.5791,-90.4407,89.26,39,2,5.66,US,1722707942
352,acapulco de juarez,16.8634,-99.8901,81.72,62,91,6.04,MX,1722707944
353,shimoda,34.6667,138.95,77.11,85,4,3.24,JP,1722707945
354,rancho palos verdes,33.7445,-118.387,85.46,73,2,5.01,US,1722707946
355,urangan,-25.3,152.9,62.38,66,0,7.56,AU,1722707947
356,bandarbeyla,9.4942,50.8122,77.76,82,95,30.71,SO,1722707948
357,tazacorte,28.629,-17.9293,76.17,73,20,16.11,ES,1722707949
358,castillos,-34.1667,-53.8333,56.32,85,72,13.38,UY,1722707951
359,nadvoitsy,63.8667,34.3167,56.16,86,93,9.08,RU,1722707952
360,seaside,36.6111,-121.8516,74.88,90,75,8.05,US,1722707953
